535,3393,0,2,3,41,woodenstairs
786,23,4,1,1,16,barpumps
786,22,4,1,1,16,barpumps
786,21,4,1,1,16,barpumps
786,20,4,1,1,16,barpumps
790,968,0,1,1,6,ladderdown
790,24,0,1,1,5,ladder
796,17,0,2,2,26,fountain
790,16,2,1,2,62,doubledoorsopen
346,554,0,1,1,1,tree
339,555,6,1,1,232,climbing_rocks
332,566,0,2,1,29,counter
323,545,2,1,1,7,chair
327,552,4,1,2,62,doubledoorsopen
340,562,0,1,1,1,tree
332,555,2,2,1,29,counter
322,546,2,1,1,3,table
320,548,2,1,1,16,barpumps
317,543,4,1,1,7,chair
346,570,0,1,1,1,tree
349,545,0,1,1,1,tree
350,560,0,1,1,1,tree
350,572,0,1,1,1,tree
332,550,2,2,1,29,counter
327,550,4,1,1,69,shopsign
317,544,0,1,1,3,table
313,556,2,1,1,45,woodenrailing
323,546,2,1,1,7,chair
313,539,0,2,2,26,fountain
321,548,2,1,1,16,barpumps
313,555,2,1,1,45,woodenrailing
313,558,2,1,2,62,doubledoorsopen
313,553,2,1,1,45,woodenrailing
322,548,2,1,1,16,barpumps
322,544,4,1,1,7,chair
312,571,0,1,1,96,wallshield
316,546,0,2,3,41,woodenstairs
322,545,2,1,1,3,table
318,561,0,1,1,5,ladder
313,554,2,1,1,45,woodenrailing
350,537,0,1,1,1,tree
333,569,0,1,1,5,ladder
345,538,0,1,1,0,tree2
328,538,7,1,1,5,ladder
327,545,4,2,2,26,fountain
317,568,0,1,1,5,ladder
343,544,0,1,1,0,tree2
110,633,0,1,1,0,tree2
109,638,0,1,1,0,tree2
108,638,0,1,1,0,tree2
109,636,0,1,1,0,tree2
106,642,0,1,1,1,tree
105,638,0,1,1,0,tree2
111,638,4,1,1,34,fern
110,642,0,1,1,1,tree
106,647,4,1,1,34,fern
108,633,0,1,1,0,tree2
110,635,4,1,1,34,fern
105,635,4,1,1,34,fern
111,641,0,1,1,0,tree2
105,645,0,1,1,1,tree
105,640,0,1,1,1,tree
107,632,4,1,1,34,fern
107,644,0,1,1,0,tree2
106,637,0,1,1,1,tree
108,641,0,1,1,1,tree
110,640,0,1,1,1,tree
110,651,0,1,1,3,table
110,650,4,1,1,7,chair
107,640,0,1,1,1,tree
108,655,0,1,1,45,woodenrailing
107,655,0,1,1,45,woodenrailing
130,636,0,1,1,1,tree
122,632,0,1,1,0,tree2
131,642,4,1,1,69,shopsign
107,657,4,1,1,45,woodenrailing
105,655,0,1,1,45,woodenrailing
111,664,4,2,1,23,bench
106,663,0,1,1,0,tree2
111,662,4,2,1,23,bench
